Group,Optimizer,Loop,JoinOrder,Reward,Duration
28b.sql,Dynamic Programming,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,NULL,782.326
7a.sql,Dynamic Programming,NULL,7--4---3---1---6--0---2---5---,NULL,595.854
4a.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,309.494
16b.sql,Dynamic Programming,NULL,6--0---1---7--5---4---3---2---,NULL,6150.02
18c.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,2233.1
20b.sql,Dynamic Programming,NULL,8--4---3---7--5---9--6---1--0---2-----,NULL,468.829
9a.sql,Dynamic Programming,NULL,7--4---3---6--2----1---5--0---,NULL,938.352
22c.sql,Dynamic Programming,NULL,7--2---9--4---6--0---1---10--5---8--3------,NULL,1453.98
22d.sql,Dynamic Programming,NULL,7--2---9--4---6--0---1---10--5---8--3------,NULL,1579.51
2b.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,1101.22
8d.sql,Dynamic Programming,NULL,6--5--3--2---4--1------0--,NULL,3368.64
32b.sql,Dynamic Programming,NULL,5--4--3----2---1---0--,NULL,369.087
9c.sql,Dynamic Programming,NULL,7--4---3---6--2----1---5--0---,NULL,1157.88
12b.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,228.501
17b.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1268.69
1d.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,458.154
27b.sql,Dynamic Programming,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,NULL,629.312
13a.sql,Dynamic Programming,NULL,6--3---5--0---1---8--7---4---2----,NULL,1842.73
25c.sql,Dynamic Programming,NULL,7--0---8--6---5---4---3---2---1---,NULL,4843.61
6b.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,290.326
2a.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,1127.96
13d.sql,Dynamic Programming,NULL,6--3---5--0---1---8--7---4---2----,NULL,1385.24
29a.sql,Dynamic Programming,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,NULL,1287.68
14b.sql,Dynamic Programming,NULL,4--0---7--6---5---3---2---1---,NULL,1188.34
30c.sql,Dynamic Programming,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,NULL,2334.06
6f.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,2407.05
22b.sql,Dynamic Programming,NULL,7--2---9--4---6--0---1---10--5---8--3------,NULL,910.784
24b.sql,Dynamic Programming,NULL,2--1---10---9--0----11--8---7---6---5---4---3---,NULL,1350.8
6d.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,420.222
17d.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1260.95
13b.sql,Dynamic Programming,NULL,6--3---5--0---1---8--7---4---2----,NULL,1161.66
17e.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,3136.69
5a.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,956.908
15d.sql,Dynamic Programming,NULL,6--3---7--4---5--1---2---8--0-----,NULL,1722.8
16a.sql,Dynamic Programming,NULL,6--0---1---7--5---4---3---2---,NULL,4354.77
11c.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,162.391
10a.sql,Dynamic Programming,NULL,6--4---3---2---5--1----0--,NULL,952.159
11a.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,164.206
