Query,Optimizer,Loop,JoinOrder,PreparationTime,ExecutionTime,TotalTime
12b.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.888,56115.1,56119
33b.sql,DuckDB,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,5.839,348.086,353.943
15c.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.168,59012.9,59017
8d.sql,DuckDB,NULL,6--5--3--2---4--1------0--,4.784,4857.45,4862.26
17f.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.388,2989.09,2993.5
22d.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,5.074,59186.7,59191.8
1a.sql,DuckDB,NULL,4--3---2---1---0--,0.982,665.867,666.866
9d.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.209,3436.35,3440.57
19b.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,5.038,58210.8,58215.8
29c.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.6,58372.9,58378.5
23a.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.666,56873.9,56878.6
9c.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.367,2028.43,2032.81
2d.sql,DuckDB,NULL,4--3---2---1---0--,0.724,1676.74,1677.49
11b.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,4.267,231.381,235.667
23c.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.911,57219.5,57224.4
16d.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.482,5810.98,5815.48
2a.sql,DuckDB,NULL,4--3---2---1---0--,0.752,1607.83,1608.6
14b.sql,DuckDB,NULL,4--0---7--6---5---3---2---1---,4.273,57537.9,57542.2
19d.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.189,7612.39,7616.6
16c.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.344,5906.32,5910.69
13a.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.093,56652.4,56656.5
25a.sql,DuckDB,NULL,7--0---8--6---5---4---3---2---1---,4.025,61323.4,61327.5
17c.sql,DuckDB,NULL,6--4---3---2---1---5--0---,6.761,1835.14,1841.93
3b.sql,DuckDB,NULL,3--2---1---0--,0.633,58797.3,58797.9
17b.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.145,1657.16,1661.33
20b.sql,DuckDB,NULL,8--4---3---7--5---9--6---1--0---2-----,5.15,669.453,674.62
6c.sql,DuckDB,NULL,4--2---1---3--0---,0.773,392.581,393.373
1c.sql,DuckDB,NULL,4--3---2---1---0--,0.731,238.385,239.133
30a.sql,DuckDB,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,4.429,59551.7,59556.1
29a.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.633,58216.9,58222.5
30b.sql,DuckDB,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,4.925,58134.2,58139.1
11d.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.671,451.17,454.859
8b.sql,DuckDB,NULL,6--5--3--2---4--1------0--,4.406,1085.06,1089.48
26a.sql,DuckDB,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,4.701,1255.99,1260.71
23b.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.694,50466.4,50471.1
15b.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.37,50501.4,50505.8
12a.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.995,56477.9,56481.9
22a.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,4.714,57163,57167.7
19a.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.736,58181.7,58186.5
21a.sql,DuckDB,NULL,6--2---4--0---1---8--7---3-----5--,4.466,57155.5,57160
26c.sql,DuckDB,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,4.613,1134.89,1139.52
7b.sql,DuckDB,NULL,7--4---3---1---6--0---2---5---,5.307,682.951,688.277
14c.sql,DuckDB,NULL,4--0---7--6---5---3---2---1---,3.821,58349.8,58353.6
9b.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.583,1448.27,1452.87
19c.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.53,58565.2,58569.7
7c.sql,DuckDB,NULL,7--4---3---1---6--0---2---5---,5.399,32678.1,32683.5
4a.sql,DuckDB,NULL,4--3---2---1---0--,0.8,495.04,495.858
6e.sql,DuckDB,NULL,4--2---1---3--0---,0.8,569.195,570.012
12c.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.769,57214.9,57218.7
27c.sql,DuckDB,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,5.423,57223,57228.5
26b.sql,DuckDB,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,4.631,1042.22,1046.86
33a.sql,DuckDB,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,5.807,418.346,424.172
24a.sql,DuckDB,NULL,2--1---10---9--0----11--8---7---6---5---4---3---,4.652,58496.8,58501.5
33c.sql,DuckDB,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,6.111,469.447,475.574
21b.sql,DuckDB,NULL,6--2---4--0---1---8--7---3-----5--,4.56,56505.7,56510.3
25c.sql,DuckDB,NULL,7--0---8--6---5---4---3---2---1---,3.963,64945.4,64949.4
3c.sql,DuckDB,NULL,3--2---1---0--,2.775,59808.6,59811.4
15d.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.919,3537.39,3542.32
