Query,Optimizer,Loop,JoinOrder,PreparationTime,ExecutionTime,TotalTime
27a.sql,DuckDB,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,5.335,56685.9,56691.2
10b.sql,DuckDB,NULL,6--4---3---2---5--1----0--,4.03,1606.24,1610.29
4b.sql,DuckDB,NULL,4--3---2---1---0--,0.822,195.668,196.507
22b.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,4.709,57388.4,57393.1
1d.sql,DuckDB,NULL,4--3---2---1---0--,0.65,653.425,654.092
4c.sql,DuckDB,NULL,4--3---2---1---0--,0.769,750.416,751.203
16a.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.391,5040.36,5044.76
9a.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.605,1756.66,1761.29
28b.sql,DuckDB,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,5.981,56890.8,56896.8
17a.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.173,2026.2,2030.39
5a.sql,DuckDB,NULL,4--3---2---1---0--,0.881,57366.8,57367.7
2b.sql,DuckDB,NULL,4--3---2---1---0--,0.615,1600.63,1601.26
12b.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.889,56350.2,56354.1
33b.sql,DuckDB,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,5.828,349.026,354.871
15c.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.141,59282,59286.1
8d.sql,DuckDB,NULL,6--5--3--2---4--1------0--,4.831,4863.52,4868.37
17f.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.436,3027.36,3031.81
22d.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,4.969,59335.4,59340.4
1a.sql,DuckDB,NULL,4--3---2---1---0--,1.009,661.474,662.5
9d.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.177,3427.77,3431.97
19b.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,5.037,58061.3,58066.4
29c.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.579,58232.4,58238
23a.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.646,56713.1,56717.8
9c.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.441,2023.91,2028.37
2d.sql,DuckDB,NULL,4--3---2---1---0--,0.722,1656.72,1657.46
11b.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,4.23,230.474,234.722
23c.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.837,57028,57032.8
16d.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.493,5784.16,5788.67
2a.sql,DuckDB,NULL,4--3---2---1---0--,0.739,1599.27,1600.02
14b.sql,DuckDB,NULL,4--0---7--6---5---3---2---1---,4.308,57429.2,57433.5
19d.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.162,7595.7,7599.88
16c.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.402,5883.78,5888.2
13a.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.055,56537.5,56541.6
25a.sql,DuckDB,NULL,7--0---8--6---5---4---3---2---1---,4.004,61151.1,61155.1
17c.sql,DuckDB,NULL,6--4---3---2---1---5--0---,6.368,1854.14,1860.53
3b.sql,DuckDB,NULL,3--2---1---0--,0.631,58355.1,58355.7
17b.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.136,1670.07,1674.22
20b.sql,DuckDB,NULL,8--4---3---7--5---9--6---1--0---2-----,5.123,668.622,673.764
6c.sql,DuckDB,NULL,4--2---1---3--0---,0.789,393.26,394.067
1c.sql,DuckDB,NULL,4--3---2---1---0--,0.736,238.604,239.358
30a.sql,DuckDB,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,4.391,59289.5,59293.9
29a.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.621,58037.5,58043.1
30b.sql,DuckDB,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,4.918,57997.6,58002.5
11d.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.648,448.492,452.159
8b.sql,DuckDB,NULL,6--5--3--2---4--1------0--,4.47,1083.26,1087.75
26a.sql,DuckDB,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,4.644,1269.71,1274.37
23b.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.721,50349.9,50354.6
15b.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.343,50393.5,50397.9
12a.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.69,56352.4,56356.1
22a.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,4.662,57015.1,57019.7
19a.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.654,58027.1,58031.8
21a.sql,DuckDB,NULL,6--2---4--0---1---8--7---3-----5--,4.5,57027.8,57032.3
26c.sql,DuckDB,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,4.589,1135.75,1140.36
7b.sql,DuckDB,NULL,7--4---3---1---6--0---2---5---,5.253,681.993,687.262
14c.sql,DuckDB,NULL,4--0---7--6---5---3---2---1---,3.749,58113.5,58117.3
9b.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.608,1448.28,1452.9
19c.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.529,58343.1,58347.6
7c.sql,DuckDB,NULL,7--4---3---1---6--0---2---5---,5.467,32574.2,32579.7
4a.sql,DuckDB,NULL,4--3---2---1---0--,0.815,492.68,493.513
6e.sql,DuckDB,NULL,4--2---1---3--0---,0.814,565.89,566.722
12c.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.805,57079.3,57083.1
27c.sql,DuckDB,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,5.45,57069.1,57074.5
26b.sql,DuckDB,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,4.632,1046.95,1051.6
33a.sql,DuckDB,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,5.858,416.805,422.68
24a.sql,DuckDB,NULL,2--1---10---9--0----11--8---7---6---5---4---3---,4.622,58363.2,58367.9
33c.sql,DuckDB,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,6.059,467.421,473.498
21b.sql,DuckDB,NULL,6--2---4--0---1---8--7---3-----5--,4.582,56346.4,56351
25c.sql,DuckDB,NULL,7--0---8--6---5---4---3---2---1---,3.929,64798.7,64802.6
3c.sql,DuckDB,NULL,3--2---1---0--,2.805,59931.8,59934.6
15d.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.922,3523.89,3528.83
22c.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,6.406,59986.1,59992.5
28c.sql,DuckDB,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,6.067,58546.9,58553
7a.sql,DuckDB,NULL,7--4---3---1---6--0---2---5---,5.422,990.207,995.646
11a.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,4.023,253.007,257.046
6a.sql,DuckDB,NULL,4--2---1---3--0---,0.82,461.579,462.416
6d.sql,DuckDB,NULL,4--2---1---3--0---,0.848,572.032,572.898
5c.sql,DuckDB,NULL,4--3---2---1---0--,0.815,57913.2,57914
18c.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.063,59338.5,59342.6
18b.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.158,57996.7,58000.9
1b.sql,DuckDB,NULL,4--3---2---1---0--,0.682,551.504,552.204
8c.sql,DuckDB,NULL,6--5--3--2---4--1------0--,3.645,5902.22,5905.88
29b.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.564,51386.4,51392
6b.sql,DuckDB,NULL,4--2---1---3--0---,0.828,405.319,406.164
30c.sql,DuckDB,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,4.471,59225.9,59230.4
31c.sql,DuckDB,NULL,9--0---6--2---8--4---5--1---7--3---10------,4.764,59274.4,59279.2
13d.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,3.933,783.521,787.47
17d.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.096,1716.12,1720.24
25b.sql,DuckDB,NULL,7--0---8--6---5---4---3---2---1---,4.059,57649,57653
3a.sql,DuckDB,NULL,3--2---1---0--,0.586,57209.9,57210.5
16b.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.284,10266.6,10271
27b.sql,DuckDB,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,5.765,56451.4,56457.1
17e.sql,DuckDB,NULL,6--4---3---2---1---5--0---,3.987,4444.32,4448.33
28a.sql,DuckDB,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,5.881,57802.5,57808.4
31b.sql,DuckDB,NULL,9--0---6--2---8--4---5--1---7--3---10------,5.241,58256.2,58261.4
32a.sql,DuckDB,NULL,5--4--3----2---1---0--,1.207,494.913,496.138
15a.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.376,50557.1,50561.5
20c.sql,DuckDB,NULL,8--4---3---7--5---9--6---1--0---2-----,5.189,1952.65,1957.86
6f.sql,DuckDB,NULL,4--2---1---3--0---,0.744,3405.64,3406.4
18a.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.461,62669,62673.5
10c.sql,DuckDB,NULL,6--4---3---2---5--1----0--,4.247,2492.27,2496.54
5b.sql,DuckDB,NULL,4--3---2---1---0--,1.019,56436.1,56437.1
31a.sql,DuckDB,NULL,9--0---6--2---8--4---5--1---7--3---10------,4.913,58291.6,58296.6
14a.sql,DuckDB,NULL,4--0---7--6---5---3---2---1---,3.797,57722,57725.8
32b.sql,DuckDB,NULL,5--4--3----2---1---0--,1.228,498.745,499.99
13c.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.192,342.217,346.427
24b.sql,DuckDB,NULL,2--1---10---9--0----11--8---7---6---5---4---3---,4.742,57946.5,57951.2
21c.sql,DuckDB,NULL,6--2---4--0---1---8--7---3-----5--,4.654,57042.3,57046.9
8a.sql,DuckDB,NULL,6--5--3--2---4--1------0--,4.061,1245.02,1249.1
20a.sql,DuckDB,NULL,8--4---3---7--5---9--6---1--0---2-----,5.175,1235.39,1240.58
2c.sql,DuckDB,NULL,4--3---2---1---0--,0.555,1548.68,1549.26
13b.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.103,421.288,425.406
10a.sql,DuckDB,NULL,6--4---3---2---5--1----0--,4.156,1651.8,1655.97
11c.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.961,273.805,277.785
27a.sql,DuckDB,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,5.386,56453.3,56458.7
10b.sql,DuckDB,NULL,6--4---3---2---5--1----0--,4.028,1581.91,1585.95
4b.sql,DuckDB,NULL,4--3---2---1---0--,0.817,195.118,195.952
22b.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,4.676,56783.2,56787.8
1d.sql,DuckDB,NULL,4--3---2---1---0--,0.661,646.172,646.851
4c.sql,DuckDB,NULL,4--3---2---1---0--,0.764,742.974,743.756
16a.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.409,5031.88,5036.31
9a.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.61,1750.77,1755.4
28b.sql,DuckDB,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,5.929,56672.1,56678
17a.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.204,2015.35,2019.58
5a.sql,DuckDB,NULL,4--3---2---1---0--,0.882,57090.8,57091.7
2b.sql,DuckDB,NULL,4--3---2---1---0--,0.613,1588.32,1588.95
12b.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.894,56148.3,56152.2
33b.sql,DuckDB,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,5.832,347.992,353.842
15c.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.117,59066.3,59070.4
8d.sql,DuckDB,NULL,6--5--3--2---4--1------0--,4.762,4832.96,4837.74
17f.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.387,2977.29,2981.7
22d.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,5.014,59126.2,59131.2
1a.sql,DuckDB,NULL,4--3---2---1---0--,0.999,660.035,661.05
9d.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.224,3430.41,3434.65
19b.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,5.037,58052.5,58057.5
29c.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.538,58206.4,58211.9
23a.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.579,56716.4,56721
9c.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.37,2028.79,2033.18
2d.sql,DuckDB,NULL,4--3---2---1---0--,0.715,1639.5,1640.23
11b.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,4.213,230.508,234.738
23c.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.805,57024.7,57029.5
16d.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.494,5765.88,5770.39
2a.sql,DuckDB,NULL,4--3---2---1---0--,0.735,1598.02,1598.77
14b.sql,DuckDB,NULL,4--0---7--6---5---3---2---1---,4.226,57382.1,57386.3
19d.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.159,7541.74,7545.92
16c.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.39,5884.66,5889.07
13a.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.302,56576.3,56580.7
25a.sql,DuckDB,NULL,7--0---8--6---5---4---3---2---1---,3.965,61121.3,61125.3
17c.sql,DuckDB,NULL,6--4---3---2---1---5--0---,6.416,1837.11,1843.54
3b.sql,DuckDB,NULL,3--2---1---0--,0.628,58831.6,58832.3
17b.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.109,1646.57,1650.69
20b.sql,DuckDB,NULL,8--4---3---7--5---9--6---1--0---2-----,5.042,671.379,676.439
6c.sql,DuckDB,NULL,4--2---1---3--0---,0.768,393.356,394.14
1c.sql,DuckDB,NULL,4--3---2---1---0--,0.762,238.635,239.413
30a.sql,DuckDB,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,4.424,59255.7,59260.2
29a.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.517,57974.3,57979.8
30b.sql,DuckDB,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,4.874,57977.1,57982
11d.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.625,447.529,451.17
8b.sql,DuckDB,NULL,6--5--3--2---4--1------0--,4.419,1086.93,1091.37
26a.sql,DuckDB,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,4.611,1251.12,1255.75
23b.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.632,50313.7,50318.4
15b.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.362,50370.7,50375
12a.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.669,56274.1,56277.8
22a.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,4.704,56942.2,56946.9
19a.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.675,57948.4,57953.1
21a.sql,DuckDB,NULL,6--2---4--0---1---8--7---3-----5--,4.456,56968.5,56973
26c.sql,DuckDB,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,4.549,1128.33,1132.9
7b.sql,DuckDB,NULL,7--4---3---1---6--0---2---5---,5.213,675.145,680.377
14c.sql,DuckDB,NULL,4--0---7--6---5---3---2---1---,3.726,58206.9,58210.7
9b.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.549,1444.94,1449.51
19c.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.53,58325.4,58329.9
7c.sql,DuckDB,NULL,7--4---3---1---6--0---2---5---,5.456,32564.8,32570.3
4a.sql,DuckDB,NULL,4--3---2---1---0--,0.798,492.406,493.222
6e.sql,DuckDB,NULL,4--2---1---3--0---,0.804,572.679,573.5
12c.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.766,56888.9,56892.6
27c.sql,DuckDB,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,5.418,57010.7,57016.2
26b.sql,DuckDB,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,4.555,1037.96,1042.53
33a.sql,DuckDB,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,5.839,415.502,421.358
24a.sql,DuckDB,NULL,2--1---10---9--0----11--8---7---6---5---4---3---,4.568,58312.5,58317.1
33c.sql,DuckDB,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,6.006,473.963,479.986
21b.sql,DuckDB,NULL,6--2---4--0---1---8--7---3-----5--,4.527,56336,56340.6
25c.sql,DuckDB,NULL,7--0---8--6---5---4---3---2---1---,3.949,64715.9,64719.8
3c.sql,DuckDB,NULL,3--2---1---0--,2.728,59514.7,59517.4
15d.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.877,3497.42,3502.32
22c.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,6.319,59910.5,59916.9
28c.sql,DuckDB,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,5.947,58435.1,58441.1
7a.sql,DuckDB,NULL,7--4---3---1---6--0---2---5---,5.398,989.368,994.784
11a.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,4.009,252.089,256.116
6a.sql,DuckDB,NULL,4--2---1---3--0---,0.803,457.893,458.713
6d.sql,DuckDB,NULL,4--2---1---3--0---,0.834,571.251,572.103
5c.sql,DuckDB,NULL,4--3---2---1---0--,0.803,57842.8,57843.7
18c.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.06,59299.8,59303.9
18b.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.264,57961.4,57965.7
1b.sql,DuckDB,NULL,4--3---2---1---0--,0.628,552.724,553.371
8c.sql,DuckDB,NULL,6--5--3--2---4--1------0--,3.635,5898.6,5902.25
29b.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.488,51353.2,51358.7
