1a.sql, optimizer = RL Optimizer, loop = 26, join_order = 4-3-1-2-0-, reward = -100.999, duration(ms) = 9.964
1a.sql, optimizer = RL Optimizer, loop = 27, join_order = 4-3-1-2-0-, reward = -110.711, duration(ms) = 9.712
1a.sql, optimizer = RL Optimizer, loop = 28, join_order = 4-3-1-2-0-, reward = -123.487, duration(ms) = 12.776
1a.sql, optimizer = RL Optimizer, loop = 29, join_order = 4-3-1-2-0-, reward = -133.723, duration(ms) = 10.236
final plan found in loop 29
duration(ms) = 402.24
1d.sql, optimizer = RL Optimizer, loop = 0, join_order = 0-2-3-1-4-, reward = -9.349, duration(ms) = 9.349
1d.sql, optimizer = RL Optimizer, loop = 1, join_order = 1-3-2-0-4-, reward = -9.767, duration(ms) = 9.767
1d.sql, optimizer = RL Optimizer, loop = 2, join_order = 2-0-3-1-4-, reward = -9.678, duration(ms) = 9.678
1d.sql, optimizer = RL Optimizer, loop = 3, join_order = 3-2-0-1-4-, reward = -9.614, duration(ms) = 9.614
1d.sql, optimizer = RL Optimizer, loop = 4, join_order = 4-2-0-3-1-, reward = -12.272, duration(ms) = 12.272
1d.sql, optimizer = RL Optimizer, loop = 5, join_order = 0-2-4-3-1-, reward = -9.62, duration(ms) = 9.62
1d.sql, optimizer = RL Optimizer, loop = 6, join_order = 1-3-4-2-0-, reward = -10.283, duration(ms) = 10.283
1d.sql, optimizer = RL Optimizer, loop = 7, join_order = 2-3-1-0-4-, reward = -9.689, duration(ms) = 9.689
1d.sql, optimizer = RL Optimizer, loop = 8, join_order = 3-1-2-0-4-, reward = -9.565, duration(ms) = 9.565
1d.sql, optimizer = RL Optimizer, loop = 9, join_order = 0-2-3-4-1-, reward = -11.779, duration(ms) = 11.779
1d.sql, optimizer = RL Optimizer, loop = 10, join_order = 0-2-4-3-1-, reward = -19.057, duration(ms) = 9.437
1d.sql, optimizer = RL Optimizer, loop = 11, join_order = 0-2-4-3-1-, reward = -28.593, duration(ms) = 9.536
1d.sql, optimizer = RL Optimizer, loop = 12, join_order = 3-4-2-0-1-, reward = -9.897, duration(ms) = 9.897
1d.sql, optimizer = RL Optimizer, loop = 13, join_order = 0-2-4-3-1-, reward = -38.231, duration(ms) = 9.638
1d.sql, optimizer = RL Optimizer, loop = 14, join_order = 0-2-4-3-1-, reward = -50.549, duration(ms) = 12.318
1d.sql, optimizer = RL Optimizer, loop = 15, join_order = 1-3-2-4-0-, reward = -24.653, duration(ms) = 24.653
1d.sql, optimizer = RL Optimizer, loop = 16, join_order = 2-4-0-3-1-, reward = -15.409, duration(ms) = 15.409
1d.sql, optimizer = RL Optimizer, loop = 17, join_order = 3-2-1-0-4-, reward = -12.128, duration(ms) = 12.128
1d.sql, optimizer = RL Optimizer, loop = 18, join_order = 0-2-3-1-4-, reward = -18.143, duration(ms) = 8.794
1d.sql, optimizer = RL Optimizer, loop = 19, join_order = 0-2-3-1-4-, reward = -27.117, duration(ms) = 8.974
1d.sql, optimizer = RL Optimizer, loop = 20, join_order = 0-2-3-1-4-, reward = -38.628, duration(ms) = 11.511
1d.sql, optimizer = RL Optimizer, loop = 21, join_order = 0-2-3-1-4-, reward = -47.206, duration(ms) = 8.578
1d.sql, optimizer = RL Optimizer, loop = 22, join_order = 0-2-3-1-4-, reward = -55.589, duration(ms) = 8.383
final plan found in loop 22
duration(ms) = 261.005
