Group,Optimizer,Loop,JoinOrder,ExecutionTime
22b.sql,Reinforcement Learning,93,4-9-10-6-8-7-1-5-0-2-3-,897.938
6d.sql,Reinforcement Learning,11,3-0-2-1-4-,422.555
17d.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,532.997
13b.sql,Reinforcement Learning,47,4-8-5-1-6-3-0-7-2-,235.384
17e.sql,Reinforcement Learning,18,2-4-0-3-1-6-5-,1921.2
5a.sql,Reinforcement Learning,16,0-2-3-1-4-,119.666
15d.sql,Reinforcement Learning,42,3-6-7-8-0-5-1-4-2-,450.698
16a.sql,Reinforcement Learning,32,7-5-3-1-0-6-4-2-,510.649
11c.sql,Reinforcement Learning,30,2-5-6-7-3-4-0-1-,278.707
10a.sql,Reinforcement Learning,18,2-4-3-1-5-0-6-,829.808
11a.sql,Reinforcement Learning,23,3-6-4-0-7-1-5-2-,140.604
5c.sql,Reinforcement Learning,11,0-2-3-4-1-,1254.55
8a.sql,Reinforcement Learning,43,4-1-3-2-5-0-6-,567.011
12a.sql,Reinforcement Learning,41,3-6-4-1-5-7-0-2-,545.969
14c.sql,Reinforcement Learning,21,2-6-7-5-1-3-4-0-,1236.56
19a.sql,Reinforcement Learning,56,7-0-2-5-8-9-3-6-1-4-,1198.2
16c.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,778.471
4b.sql,Reinforcement Learning,10,0-2-4-3-1-,78.807
3a.sql,Reinforcement Learning,8,0-2-3-1-,901.359
1b.sql,Reinforcement Learning,9,1-3-4-2-0-,88.097
18a.sql,Reinforcement Learning,15,1-3-0-5-6-4-2-,890.249
15b.sql,Reinforcement Learning,58,1-5-7-2-8-0-4-6-3-,450.662
26b.sql,Reinforcement Learning,74,6-9-8-11-0-5-1-2-7-4-3-10-,654.368
19c.sql,Reinforcement Learning,47,7-0-2-9-6-1-8-5-4-3-,1244.66
17f.sql,Reinforcement Learning,16,2-4-0-5-3-6-1-,1007.76
6c.sql,Reinforcement Learning,10,1-2-0-4-3-,250.924
32a.sql,Reinforcement Learning,16,5-3-2-0-1-4-,259.18
11d.sql,Reinforcement Learning,21,2-5-6-7-3-4-1-0-,294.255
19d.sql,Reinforcement Learning,54,7-2-9-6-4-5-3-8-1-0-,2304.1
4c.sql,Reinforcement Learning,9,1-3-4-2-0-,181.376
26a.sql,Reinforcement Learning,70,6-9-0-1-4-3-8-5-10-11-2-7-,1005.97
10c.sql,Reinforcement Learning,24,0-1-5-4-3-2-6-,933.702
5b.sql,Reinforcement Learning,10,0-2-4-3-1-,98.435
9b.sql,Reinforcement Learning,55,5-0-2-1-6-7-4-3-,696.177
10b.sql,Reinforcement Learning,37,2-4-1-5-0-3-6-,805.583
6a.sql,Reinforcement Learning,11,1-2-0-3-4-,287.268
30a.sql,Reinforcement Learning,82,6-9-0-11-2-7-3-10-4-1-8-5-,1434.8
31a.sql,Reinforcement Learning,43,1-5-8-4-10-0-9-6-2-7-3-,1466.36
8b.sql,Reinforcement Learning,36,4-0-1-3-2-6-5-,465.948
2d.sql,Reinforcement Learning,9,1-3-4-2-0-,278.748
15a.sql,Reinforcement Learning,61,6-7-8-0-4-5-2-3-1-,581.661
15c.sql,Reinforcement Learning,38,6-7-8-4-0-3-5-1-2-,621.503
2c.sql,Reinforcement Learning,10,0-2-4-3-1-,204.907
21a.sql,Reinforcement Learning,32,2-6-7-8-5-3-4-0-1-,970.112
17a.sql,Reinforcement Learning,17,2-4-0-5-3-1-6-,880.956
13c.sql,Reinforcement Learning,51,8-5-4-0-1-6-3-7-2-,178.956
31b.sql,Reinforcement Learning,53,4-8-10-0-9-7-3-6-5-1-2-,1447.42
20c.sql,Reinforcement Learning,43,5-7-0-1-4-3-2-9-6-8-,977.418
7b.sql,Reinforcement Learning,76,6-0-1-4-3-7-2-5-,285.404
21c.sql,Reinforcement Learning,50,2-6-7-8-4-1-5-0-3-,1029.76
7c.sql,Reinforcement Learning,67,5-1-4-6-7-2-3-0-,1036.89
25b.sql,Reinforcement Learning,25,3-6-8-0-5-2-7-4-1-,1177.03
9d.sql,Reinforcement Learning,25,5-2-7-4-3-1-0-6-,1129.19
14a.sql,Reinforcement Learning,25,2-6-7-5-3-1-4-0-,1198.97
25a.sql,Reinforcement Learning,46,3-6-0-7-8-4-1-5-2-,1278.95
12c.sql,Reinforcement Learning,47,6-3-5-7-4-0-2-1-,803.307
16d.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,749.611
20a.sql,Reinforcement Learning,86,3-4-9-7-5-0-1-2-6-8-,720.704
6e.sql,Reinforcement Learning,11,1-2-0-3-4-,332.184
3c.sql,Reinforcement Learning,9,0-2-1-3-,1197.12
8c.sql,Reinforcement Learning,18,5-1-6-4-3-2-0-,3277.92
11b.sql,Reinforcement Learning,56,3-6-4-0-1-5-2-7-,88.305
21b.sql,Reinforcement Learning,43,2-6-5-8-4-0-1-7-3-,556.085
19b.sql,Reinforcement Learning,79,7-0-2-1-6-4-9-5-8-3-,1034.83
24a.sql,Reinforcement Learning,85,5-8-2-9-1-11-7-4-6-3-0-10-,1260.52
1a.sql,Reinforcement Learning,9,1-3-4-2-0-,131.828
22a.sql,Reinforcement Learning,41,4-9-10-8-3-7-2-6-0-1-5-,920.341
26c.sql,Reinforcement Learning,80,6-9-0-4-3-11-7-1-8-10-2-5-,1008.85
27a.sql,Reinforcement Learning,59,5-9-11-10-6-8-7-3-4-0-1-2-,681.163
17c.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,482.526
30b.sql,Reinforcement Learning,65,6-9-11-7-8-5-3-10-4-0-2-1-,1408.34
3b.sql,Reinforcement Learning,8,0-2-3-1-,508.467
18b.sql,Reinforcement Learning,20,5-0-4-6-2-3-1-,1279.68
1c.sql,Reinforcement Learning,9,1-3-4-2-0-,87.643
31c.sql,Reinforcement Learning,46,1-5-8-4-10-0-7-9-3-6-2-,2218.12
7a.sql,Reinforcement Learning,21,2-6-5-0-1-7-4-3-,357.361
4a.sql,Reinforcement Learning,17,1-3-2-0-4-,130.154
16b.sql,Reinforcement Learning,24,3-5-1-6-4-2-0-7-,2606.73
18c.sql,Reinforcement Learning,24,5-0-3-1-6-4-2-,2095.39
20b.sql,Reinforcement Learning,69,8-4-7-9-6-5-3-0-1-2-,555.5
9a.sql,Reinforcement Learning,48,5-2-1-4-6-7-3-0-,847.864
22c.sql,Reinforcement Learning,81,4-9-10-8-7-2-3-5-6-0-1-,1354.56
22d.sql,Reinforcement Learning,86,4-9-10-7-5-2-6-0-8-1-3-,1382.3
2b.sql,Reinforcement Learning,13,1-3-4-2-0-,291.411
8d.sql,Reinforcement Learning,18,5-1-6-4-3-2-0-,789.24
32b.sql,Reinforcement Learning,15,5-3-2-0-4-1-,292.526
9c.sql,Reinforcement Learning,29,5-0-2-1-4-3-6-7-,935.273
12b.sql,Reinforcement Learning,31,2-5-7-6-3-4-0-1-,267.165
17b.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,647.048
1d.sql,Reinforcement Learning,9,1-3-4-2-0-,87.948
13a.sql,Reinforcement Learning,27,0-5-1-6-3-7-2-8-4-,784.875
25c.sql,Reinforcement Learning,24,3-6-0-8-7-4-5-2-1-,2149.87
6b.sql,Reinforcement Learning,12,4-2-1-0-3-,281.907
2a.sql,Reinforcement Learning,13,1-3-4-2-0-,256.371
13d.sql,Reinforcement Learning,32,2-7-5-1-0-6-3-8-4-,1263.98
14b.sql,Reinforcement Learning,32,2-6-7-4-5-0-1-3-,1179.78
30c.sql,Reinforcement Learning,99,6-9-3-11-0-1-8-5-7-10-4-2-,2146.52
24b.sql,Reinforcement Learning,99,5-8-11-7-2-1-9-0-10-6-3-4-,1220.31
29b.sql,Reinforcement Learning,99,9-12-16-11-7-5-14-15-10-0-6-8-4-13-1-2-3-,954.301
33a.sql,Reinforcement Learning,99,4-12-11-6-13-5-8-7-1-0-10-3-9-2-,323.118
23c.sql,Reinforcement Learning,99,4-8-9-10-6-0-7-2-3-1-5-,653.629
27c.sql,Reinforcement Learning,99,5-9-10-11-7-6-8-3-4-0-1-2-,1032.86
28a.sql,Reinforcement Learning,99,7-12-0-13-1-11-6-10-8-5-2-9-3-4-,1358.53
23b.sql,Reinforcement Learning,99,5-9-0-10-6-1-7-3-8-2-4-,515.473
33c.sql,Reinforcement Learning,99,6-11-12-13-10-3-5-8-9-2-1-4-7-0-,315.468
