Group,Optimizer,JoinOrder,ExecutionTime
25b.sql,Dynamic Programming,7--0---8--6---5---4---3---2---1---,1199.87
9d.sql,Dynamic Programming,7--4---3---6--2----1---5--0---,1254.22
28c.sql,Dynamic Programming,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,1400.52
14a.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1310.74
25a.sql,Dynamic Programming,7--0---8--6---5---4---3---2---1---,2989.55
12c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,879.986
16d.sql,Dynamic Programming,6--0---1---7--5---4---3---2---,4452.62
20a.sql,Dynamic Programming,8--4---3---7--5---9--6---1--0---2-----,1017.7
6e.sql,Dynamic Programming,4--2---1---3--0---,417.443
3c.sql,Dynamic Programming,3--2---1---0--,1762.29
8c.sql,Dynamic Programming,6--5--3--2---4--1------0--,4642.25
11b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,114.969
21b.sql,Dynamic Programming,6--2---4--0---1---8--7---3-----5--,540.357
19b.sql,Dynamic Programming,2--1---8---7--0----9--6---5---4---3---,1119.31
24a.sql,Dynamic Programming,2--1---10---9--0----11--8---7---6---5---4---3---,1561.92
1a.sql,Dynamic Programming,4--3---2---1---0--,320.55
23a.sql,Dynamic Programming,8--4---9--5---7--2---3---10--6---1--0------,540.265
29c.sql,Dynamic Programming,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,1515.58
22a.sql,Dynamic Programming,7--2---9--4---6--0---1---10--5---8--3------,916.863
26c.sql,Dynamic Programming,4--3---10---9--6---11--7---8--5---1--0---2------,990.688
27a.sql,Dynamic Programming,9--5---7--3---4---1--0---2---10--6----11-----8--,649.998
17c.sql,Dynamic Programming,6--4---3---2---1---5--0---,1190.35
30b.sql,Dynamic Programming,10--3---7--4---9--6---8--5---1--0---2----11-----,1620.24
3b.sql,Dynamic Programming,3--2---1---0--,535.999
18b.sql,Dynamic Programming,6--4---3---2---1---5--0---,1308.51
33b.sql,Dynamic Programming,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,428.792
1c.sql,Dynamic Programming,4--3---2---1---0--,148.533
31c.sql,Dynamic Programming,9--0---6--2---8--4---5--1---7--3---10------,2465.3
28b.sql,Dynamic Programming,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,782.583
7a.sql,Dynamic Programming,7--4---3---1---6--0---2---5---,599.724
4a.sql,Dynamic Programming,4--3---2---1---0--,310.442
16b.sql,Dynamic Programming,6--0---1---7--5---4---3---2---,6166.3
18c.sql,Dynamic Programming,6--4---3---2---1---5--0---,2209.48
20b.sql,Dynamic Programming,8--4---3---7--5---9--6---1--0---2-----,472.435
9a.sql,Dynamic Programming,7--4---3---6--2----1---5--0---,943.547
22c.sql,Dynamic Programming,7--2---9--4---6--0---1---10--5---8--3------,1452.19
22d.sql,Dynamic Programming,7--2---9--4---6--0---1---10--5---8--3------,1577.03
2b.sql,Dynamic Programming,4--3---2---1---0--,1097.06
8d.sql,Dynamic Programming,6--5--3--2---4--1------0--,3367.31
32b.sql,Dynamic Programming,5--4--3----2---1---0--,366.554
9c.sql,Dynamic Programming,7--4---3---6--2----1---5--0---,1166.73
12b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,228.7
17b.sql,Dynamic Programming,6--4---3---2---1---5--0---,1280.29
1d.sql,Dynamic Programming,4--3---2---1---0--,456.804
27b.sql,Dynamic Programming,9--5---7--3---4---1--0---2---10--6----11-----8--,631.425
13a.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1827.08
25c.sql,Dynamic Programming,7--0---8--6---5---4---3---2---1---,4814.71
6b.sql,Dynamic Programming,4--2---1---3--0---,289.733
2a.sql,Dynamic Programming,4--3---2---1---0--,1142.14
13d.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1377.97
29a.sql,Dynamic Programming,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,1296.86
14b.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1183.12
30c.sql,Dynamic Programming,10--3---7--4---9--6---8--5---1--0---2----11-----,2332.4
6f.sql,Dynamic Programming,4--2---1---3--0---,2401.09
22b.sql,Dynamic Programming,7--2---9--4---6--0---1---10--5---8--3------,926.473
24b.sql,Dynamic Programming,2--1---10---9--0----11--8---7---6---5---4---3---,1344.29
6d.sql,Dynamic Programming,4--2---1---3--0---,417.162
17d.sql,Dynamic Programming,6--4---3---2---1---5--0---,1262.12
13b.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1169.36
17e.sql,Dynamic Programming,6--4---3---2---1---5--0---,3121.38
5a.sql,Dynamic Programming,4--3---2---1---0--,948.691
15d.sql,Dynamic Programming,6--3---7--4---5--1---2---8--0-----,1720.5
16a.sql,Dynamic Programming,6--0---1---7--5---4---3---2---,4325.08
11c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,165.623
10a.sql,Dynamic Programming,6--4---3---2---5--1----0--,944.863
11a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,164.702
5c.sql,Dynamic Programming,4--3---2---1---0--,1387.12
29b.sql,Dynamic Programming,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,1097.72
8a.sql,Dynamic Programming,6--5--3--2---4--1------0--,589.97
12a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,613.917
14c.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1576.26
19a.sql,Dynamic Programming,2--1---8---7--0----9--6---5---4---3---,1449.48
