Group,Optimizer,Execution Tme
20a.sql,Dynamic Programming,1016.43
6e.sql,Dynamic Programming,416.13
3c.sql,Dynamic Programming,1761.79
8c.sql,Dynamic Programming,4612.71
11b.sql,Dynamic Programming,114.681
21b.sql,Dynamic Programming,540.326
19b.sql,Dynamic Programming,1126.08
24a.sql,Dynamic Programming,1563.71
1a.sql,Dynamic Programming,321.949
23a.sql,Dynamic Programming,539.614
29c.sql,Dynamic Programming,1505.84
22a.sql,Dynamic Programming,912.006
26c.sql,Dynamic Programming,993.408
27a.sql,Dynamic Programming,647.181
17c.sql,Dynamic Programming,1206.08
30b.sql,Dynamic Programming,1623.18
3b.sql,Dynamic Programming,535.433
18b.sql,Dynamic Programming,1312.61
33b.sql,Dynamic Programming,428.88
1c.sql,Dynamic Programming,146.974
31c.sql,Dynamic Programming,2456.12
28b.sql,Dynamic Programming,782.326
7a.sql,Dynamic Programming,595.854
4a.sql,Dynamic Programming,309.494
16b.sql,Dynamic Programming,6150.02
18c.sql,Dynamic Programming,2233.1
20b.sql,Dynamic Programming,468.829
9a.sql,Dynamic Programming,938.352
22c.sql,Dynamic Programming,1453.98
22d.sql,Dynamic Programming,1579.51
2b.sql,Dynamic Programming,1101.22
8d.sql,Dynamic Programming,3368.64
32b.sql,Dynamic Programming,369.087
9c.sql,Dynamic Programming,1157.88
12b.sql,Dynamic Programming,228.501
17b.sql,Dynamic Programming,1268.69
1d.sql,Dynamic Programming,458.154
27b.sql,Dynamic Programming,629.312
13a.sql,Dynamic Programming,1842.73
25c.sql,Dynamic Programming,4843.61
6b.sql,Dynamic Programming,290.326
2a.sql,Dynamic Programming,1127.96
13d.sql,Dynamic Programming,1385.24
29a.sql,Dynamic Programming,1287.68
14b.sql,Dynamic Programming,1188.34
30c.sql,Dynamic Programming,2334.06
6f.sql,Dynamic Programming,2407.05
22b.sql,Dynamic Programming,910.784
24b.sql,Dynamic Programming,1350.8
6d.sql,Dynamic Programming,420.222
17d.sql,Dynamic Programming,1260.95
13b.sql,Dynamic Programming,1161.66
17e.sql,Dynamic Programming,3136.69
5a.sql,Dynamic Programming,956.908
15d.sql,Dynamic Programming,1722.8
16a.sql,Dynamic Programming,4354.77
11c.sql,Dynamic Programming,162.391
10a.sql,Dynamic Programming,952.159
11a.sql,Dynamic Programming,164.206
5c.sql,Dynamic Programming,1397.63
29b.sql,Dynamic Programming,1105.71
8a.sql,Dynamic Programming,615.654
12a.sql,Dynamic Programming,618.03
14c.sql,Dynamic Programming,1574.19
19a.sql,Dynamic Programming,1452.23
16c.sql,Dynamic Programming,4298.44
4b.sql,Dynamic Programming,121.187
33a.sql,Dynamic Programming,468.631
3a.sql,Dynamic Programming,1070.49
1b.sql,Dynamic Programming,391.271
18a.sql,Dynamic Programming,5289.65
15b.sql,Dynamic Programming,541.708
23c.sql,Dynamic Programming,633.043
26b.sql,Dynamic Programming,744.18
19c.sql,Dynamic Programming,1529.55
17f.sql,Dynamic Programming,1946.27
27c.sql,Dynamic Programming,955.419
6c.sql,Dynamic Programming,259.957
28a.sql,Dynamic Programming,1361.3
32a.sql,Dynamic Programming,363.115
11d.sql,Dynamic Programming,244.673
19d.sql,Dynamic Programming,4280.41
4c.sql,Dynamic Programming,523.321
26a.sql,Dynamic Programming,862.979
10c.sql,Dynamic Programming,1327.84
5b.sql,Dynamic Programming,648.53
